Name, Abbreviation, Tag, useValue, useDate, usePlace
----------,----------,----------,----------,----------,----------
Address,,ADDR,,,
Adoption,,ADOP,,,
Also Known As,,ALIA,,,
Ancestral File Number,,AFN,,,
Annulment,,ANUL,,,
Arrival,,ARVL,,,
Baptism,,BAPM,,,
Baptism (LDS),,BAPL,,,
Bar Mitzvah,,BARM,,,
Bat Mitzvah,,BASM,,,
Birth,,BIRT,,,
Blessing,,BLES,,,
Burial,,BURI,,,
Caste,,CAST,,,
Cause of Death,,_DCAUSE,,,
Census,,CENS,,,
Christening,,CHR,,,
Christening (adult),,CHRA,,,
Circumcision,,_CIRC,,,
Confirmation,,CONF,,,
Confirmation (LDS),,CONL,,,
Cremation,,CREM,,,
Death,,DEAT,,,
Degree,,_DEG,,,
Departure,,DPRT,,,
Destination,,_DEST,,,
Divorce,,DIV,,,
Divorce Filed,,DIVF,,,
DNA Markers,,_DNA,,,
Education,,EDUC,,,
Elected,,_ELEC,,,
Email,,EMAIL,,,
Emigration,,EMIG,,,
Employment,,_EMPLOY,,,
Endowment (LDS),,ENDL,,,
Engagement,,ENGA,,,
Excommunication,,_EXCM,,,
First Communion,,FCOM,,,
Funeral,,_FUN,,,
Graduation,,GRAD,,,
Height,,_HEIG,,,
Immigration,,IMMI,,,
Initiatory (LDS),,_INIT,,,
Marriage,,MARR,,,
Marriage Bann,,MARB,,,
Marriage Contract,,MARC,,,
Marriage License,,MARL,,,
Marriage Settlement,,MARS,,,
Medical Condition,,_MDCL,,,
Military Serial Number,,_MILTID,,,
Military Service,,_MILT,,,
Mission (LDS),,_MISN,,,
Namesake,,_NAMS,,,
Nationality,,NATI,,,
Naturalization,,NATU,,,
Occupation,,OCCU,,,
Ordinance,,_ORDI,,,
Ordination,,ORDN,,,
Origin,,_ORIG,,,
Phone Number,,PHON,,,
Physical Description,,DSCR,,,
Probate,,PROB,,,
Property,,PROP,,,
Reference ID,,REFN,,,
Reference ID,,REFN,,,
Religion,,RELI,,,
Residence,,RESI,,,
Retirement,,RETI,,,
Sealed to Parents (LDS),,SLGC,,,
Sealed to Spouse (LDS),,SLGS,,,
Separation,,_SEPR,,,
Settled,,_SETT,,,
Sex,,SEX,,,
Social Security Number,,SSN,,,
Title,,TITL,,,
Web Address,,_WEB,,,
Weight,,_WEIG,,,
Will,,WILL,,,